"","pb","bathy","chlomean","ppmean","odismean","salinity","tempmean","x","y","focal_rac_vect"
"429",1,-112,0.766161561012268,274.967864990234,0.0144124794751406,35.2731819152832,10.7558460235596,-6.25,58.75,1.18812713995606
"430",1,-119,0.564621865749359,282.183227539062,0.0087656918913126,34.9818420410156,10.130054473877,1.75,59.25,0.850188501533729
"431",1,-82,0.746988952159882,280.191711425781,0.0132111124694347,35.2284126281738,9.90840911865234,-1.75,59.25,0.912585101480352
"432",1,-63,0.777596354484558,279.574523925781,0.0123289171606302,35.1754455566406,9.86294460296631,-2.25,59.25,0.921059366367326
"433",1,-95,0.735202789306641,275.837585449219,0.0134629895910621,35.2798690795898,10.6521444320679,-5.25,59.25,1.39003228260703
"434",1,-97,0.715364813804626,275.198577880859,0.0133045250549912,35.3189315795898,10.7316122055054,-5.75,59.25,0.810039836369407
"435",1,-108,0.7006796002388,277.138610839844,0.0103900572285056,35.1345977783203,10.3076734542847,-3.75,59.25,1.02690677962939
"436",1,-104,0.724352240562439,276.846405029297,0.0122156208381057,35.2155952453613,10.4506921768188,-4.25,59.25,0.944372623170459
"437",1,-120,0.741445958614349,276.507690429688,0.0130010498687625,35.2491226196289,10.550576210022,-4.75,59.25,0.889473404917773
"438",1,-135,0.608852744102478,281.773315429688,0.00983235985040665,35.2256507873535,10.082558631897,-0.75,59.25,0.803202598297563
"439",1,-125,0.536679983139038,282.193115234375,0.00845654308795929,35.1386222839355,10.0804872512817,0.75,59.25,1.09119877757788
"440",1,-114,0.68777197599411,281.364105224609,0.011929078027606,35.2478713989258,10.002067565918,-1.25,59.25,0.853186785622009
"441",1,-99,0.732016205787659,281.562866210938,0.013786043971777,35.2798385620117,9.85799503326416,-1.25,59.75,-0.0130318064921828
"442",1,-108,0.761356949806213,278.962371826172,0.012808351777494,35.2422027587891,9.92292785644531,-2.25,59.75,0.891543667584639
"443",1,-79,0.745766699314117,278.502716064453,0.0127370804548264,35.1977424621582,10.0132427215576,-2.75,59.75,0.744634987274703
"444",1,-146,0.612548887729645,273.449066162109,0.0103178322315216,35.3484191894531,10.7456493377686,-5.25,59.75,0.956941912200898
"458",0,-133,0.686184704303741,269.089477539062,0.01467380579561,35.3045845031738,12.0735864639282,-10.625,53.9583333333333,0.722805552781856
"462",0,-95,0.525186061859131,281.282562255859,0.00746406335383654,35.0532150268555,10.2810516357422,2.29166666666666,58.625,0.951713453744598
"464",0,-117,0.656995594501495,281.844390869141,0.0117071066051722,35.2693176269531,10.0243244171143,-0.708333333333336,59.7083333333333,1.41890745595766
"476",0,-137,0.353012144565582,259.012145996094,0.00491381622850895,35.3991928100586,14.2150974273682,-5.625,47.7083333333333,1.22079750543866
"479",0,-2108,0.419793277978897,267.405181884766,0.00727247213944793,35.4040985107422,11.5424633026123,-10.375,57.7916666666667,0.963849929263688
"487",0,-118,0.463991701602936,279.491394042969,0.00555935315787792,35.041805267334,10.5679950714111,0.958333333333332,56.875,0.69516970464198
"489",0,-30,0.684052169322968,277.857391357422,0.00893465802073479,33.757080078125,11.5078439712524,6.20833333333333,54.0416666666667,0.892601184560111
"490",0,-4740,0.348498731851578,255.470748901367,0.00758860865607858,35.6628150939941,15.1630792617798,-6.54166666666667,46.2916666666667,1.41983628986512
"491",0,-4779,0.325803935527802,254.721801757812,0.00714103598147631,35.678596496582,15.2284822463989,-6.95833333333333,46.0416666666667,1.50004137401195
"496",0,-88,0.553694546222687,279.673919677734,0.00721474504098296,34.9991226196289,10.3528137207031,-0.291666666666668,57.125,0.929634010677538
"499",0,-55,0.440726429224014,281.808319091797,0.00399703159928322,34.6846084594727,10.4057950973511,5.125,56.9583333333333,1.06787158391252
