"","X","pb","bathy","chlomean","ppmean","odismean","salinity","tempmean","x","y"
"1064",1277,0,-0.539047386871136,0.392480300958679,0.119216558284931,0.274998909833192,0.246862372113943,-0.627425233840229,-12.625,55.2083333333333
"1067",1280,0,0.997869166758673,0.757007158424231,0.648327657757607,0.418443105449552,0.210224681800517,-1.03987908081213,0.541666666666664,58.625
"1068",1281,0,-1.14251644122578,-0.0252820804214851,-0.29454534036431,0.279094879527733,0.300218405170073,0.231945706354108,-17.2083333333333,43.7083333333333
"1069",1282,0,1.03757843724911,-0.139087791575078,0.223788226934089,-0.5377506773092,0.188576107074911,-0.393512231548467,-4.625,49.7916666666667
"1070",1283,0,1.04037486474843,0.00674586343975237,0.292137481383831,-0.14251697881141,0.176595033216069,-0.429776526103982,-4.70833333333334,50.0416666666667
"1071",1284,0,-0.17663038295843,0.561585494714625,0.94746376112068,0.277249326323419,0.206220573483183,-1.27928504023861,2.125,64.2916666666667
"1072",1285,0,-1.33658850967904,0.187959958784471,-0.149547219287251,0.37236002946651,0.282493082758862,-0.0181499958821714,-12.9583333333333,46.5416666666667
"1073",1286,0,1.01296987525504,-0.262594237543812,3.33321612002827,-0.654006507310263,-3.67590728650871,-1.74779226006587,19.375,62.5416666666667
"1074",1287,0,1.05771271524426,0.853800043421463,0.553225432762956,0.192930421578747,0.12927889397459,-0.984387034330385,0.708333333333332,54.2916666666667
"1075",1288,0,0.652790013341791,0.37351620014474,0.369729940690711,0.299768158977507,0.234077202667589,-0.940702997227482,-11.5416666666667,59.875
"1076",1289,0,0.977734888763523,1.00036104395044,0.172570742485977,1.13310614428999,0.247501283351892,-0.407234703267962,-11.0416666666667,51.2083333333333
"1083",1296,0,0.331760136419116,1.03948221885915,0.79025200356917,0.944046490619213,0.175651051782981,-1.14443616955521,4.70833333333333,63.7083333333333
"1085",1298,0,1.00010630875813,0.177989356856511,0.142506120079985,-0.122580753890375,0.232916447778768,-0.360517101792853,-8.20833333333334,49.7083333333333
"1088",1301,0,-0.7700322983155,0.211520184395783,-0.255233323493821,0.340292240361889,0.280710778350514,-0.0293023760566379,-22.7083333333333,46.9583333333333
"1089",1302,0,0.403348680401873,0.416699745735,0.171157448270311,0.203788308199836,0.243911872080308,-0.630442088962244,-18.9583333333333,54.625
"1090",1303,0,1.07505056574008,1.22004424771923,3.12670478717507,0.00923074778313047,-3.72151887703792,-1.50767354668592,24.2083333333333,60.0416666666667
"1094",1307,0,0.434109382894464,0.3096032487727,0.331403412573374,0.188308496306314,0.233566272096869,-0.851748797447281,-16.375,57.7916666666667
