"","pb","bathy","chlomean","ppmean","odismean","salinity","tempmean","x","y"
"1156",0,0.520603407503196,-0.0250593114049787,-0.849184006121344,0.0499943295358857,0.416449207523076,0.708052475837375,-14.7916666666667,52.375
"1157",0,-0.38885240214824,0.458693757014823,0.288829718101942,0.215198217552006,0.371720410451449,-0.622769580135596,-5.79166666666667,63.125
"1158",0,-0.725448146645569,-0.235890935718115,-0.730748668718694,-0.0905279004963011,0.408774041031553,0.45770679103527,-13.125,56.2916666666667
"1159",0,-0.768817213725032,0.244318626527919,0.521772126966632,0.000869759093239773,0.349371334712,-1.02076662957747,-4.70833333333333,63.625
"1160",0,-1.45689659141861,-0.225992447166557,-0.947513141691462,-0.0149350474541192,0.426295769707965,0.954014826451809,-14.0416666666667,50.2083333333333
"1161",0,0.810593587377818,0.085496374918229,-0.258789650426101,-0.179015874556633,0.36687352127131,0.0108019968112313,1.79166666666666,57.7916666666667
"1162",0,0.850078857405389,-0.0114318616280887,-0.483455020670041,-0.412261910100232,0.277125460205688,0.425408583240168,2.45833333333333,52.4583333333333
"1163",0,-1.33067318723211,-0.393042972979559,0.34499340838418,-0.414816789843758,0.374033930632824,-0.649442569590805,0.625,66.875
"1164",0,0.0422490706118001,-0.506523981971323,-1.0197872553157,-0.242301105418509,0.424720852725212,1.27688459002056,-5.54166666666667,46.875
"1165",0,0.824834176568089,-0.85491150615172,-0.748859392468455,-0.319262880644876,0.367790668357994,0.759954013562871,-4.04166666666667,48.875
"1166",0,0.651357908250235,0.189707848123806,-0.382557514807792,0.236795077238831,0.395414783297711,-0.19688350056977,-6.70833333333333,60.5416666666667
"1167",0,-2.14562326862084,-0.318422489619066,-0.862522557056438,-0.129580010702204,0.419579499371479,0.840360773875245,-17.9583333333333,51.625
"1168",0,0.761398824720516,0.104419363622234,-0.0779958640531356,-0.303923705572367,0.20054700951022,-0.238966190905915,4.375,62.4583333333333
"1169",0,0.0124732932139595,-0.454941883161185,-0.481774922641918,-0.349962578025962,0.39045463866619,-0.130299511557991,-13.4583333333333,62.2083333333333
"1170",0,-2.11002179564516,-0.469764161373602,-1.05017513626924,-0.0112490095695127,0.44103052600232,1.28165795126706,-12.7083333333333,46.9583333333333
"1171",0,0.866261345121607,1.9765535636085,0.15629293795005,2.81354584112259,-1.66667940635612,1.18659611979144,31.9583333333333,46.0416666666667
"1172",0,0.842958562810253,0.573479524812045,-0.464586227431126,-0.303810344387729,0.263286532324815,0.28710543520135,-4.95833333333333,53.9583333333333
"1173",0,0.805415191308628,-0.875893381593334,-0.870766803867225,-0.768064513560454,0.397277502368682,0.95654273821993,-5.70833333333333,48.625
"1174",0,0.846842359862146,0.398566599920081,-0.585290950976241,-0.237581076122511,0.274908318192744,0.689137560429157,0.208333333333332,50.4583333333333
"1175",0,0.341948743116152,-0.389572334137514,-0.511086942889162,-0.149633407968179,0.396194691425662,0.0117150400979487,-11.875,60.2916666666667
"1176",0,0.466230248776705,-0.295349279798846,-0.602725584761758,-0.143835547726182,0.401460847845429,0.295196540949005,-16.2083333333333,56.625
"1177",0,-1.74170837522404,-0.26287044990498,-0.960001998962506,-0.043302007211071,0.4264507742277,0.96119875608197,-14.5416666666667,50.125
"1178",0,0.866908644630256,-0.822584704644769,2.22818076025974,-0.787418972873095,-3.03479254557528,-0.629830019823061,21.125,59.9583333333333
"1179",0,0.844900461336199,-1.83021416776464,-0.499387017987237,-1.1593897357398,-1.52382231102511,1.64956187068018,33.4583333333333,44.625
"1180",0,-0.988899046665593,-0.299326493449914,-0.998383848059615,0.163159054169561,0.428180695730187,1.25692922993678,-6.29166666666667,47.0416666666667
"1181",0,0.864966746104309,-0.186470940710482,2.64795932871565,-0.352978754364983,-3.15840587419508,-1.16788226578938,20.625,63.625
"1182",0,0.336770347046963,-0.0388829854935911,1.27738898162724,-0.267513009116733,0.31676842130171,-1.60651267507479,-9.54166666666667,65.4583333333333
"1183",0,-0.36878611738013,-0.198025377837089,-0.640161293694924,0.0214097261192508,0.407273295265981,0.290483248339788,-10.2083333333333,58.2083333333333
"1184",0,0.772402916367544,0.148241161534136,-0.880810742366001,0.327370500183955,0.425718833114452,0.998011331510726,-10.7916666666667,49.0416666666667
"1185",0,0.710909463045917,0.262156996887372,-0.0731754679885224,-0.0360482000370859,0.159313142426546,-0.19259040903253,4.125,61.625
"1186",0,0.795058399170249,0.645560001240828,-0.305347269319074,0.484595592901539,0.399198403651932,-0.0189358900905175,0.458333333333332,60.9583333333333
"1187",0,-0.60440313852826,-0.0629430511538052,-0.885273321916014,0.213398997249222,0.426238031634711,0.96896493241027,-12.375,50.125
"1188",0,-0.988899046665593,-0.228747559580397,-0.889825596710927,-0.0956120596581053,0.419002562777966,0.790808059562061,-15.5416666666667,51.875
"1189",0,-0.735804938783948,-0.268423891633817,-0.779783998193897,-0.165739447735611,0.411029379000649,0.638984439132143,-17.4583333333333,53.4583333333333
"1190",0,0.777581312436734,0.703546173471817,-0.67646954304435,0.99210134799779,0.403688205055948,0.495152461962098,-10.5416666666667,54.4583333333333
"1191",0,-0.458113449573652,-1.88957062345543,-0.55792618556182,-1.17776801907207,-1.51096248762492,1.68455925570692,32.125,43.2083333333333
"1192",0,0.124456108210186,-0.0671440416393388,-0.89442320136079,0.0759982893033958,0.423206782788889,0.884749820494088,-13.875,50.7916666666667
"1193",0,0.857199152000525,1.89342130876753,-1.16720524816846,1.24339692148296,0.291201558325926,2.15735475015642,13.2916666666667,45.2916666666667
"1194",0,-0.389499701656889,-0.242884101655697,0.182147351176158,-0.2724322792827,0.374326174111293,-0.423967256347367,2.29166666666666,65.7916666666667
"1195",0,-0.693730470721782,-0.267901512585861,-0.787118754510701,-0.16330455418102,0.410838399219887,0.635219672213992,-16.625,53.7083333333333
"1196",0,0.698610772381591,-0.710042859055155,-1.16509596321582,-0.362719310065463,0.437901122431967,1.54366728909566,-8.375,44.125
"1197",0,0.508952016347519,0.530109056803156,1.06004293626012,0.0557357545560939,0.35192557824494,-0.918939532904116,-9.95833333333333,64.375
"1198",0,0.836485567723766,1.22496885518197,-0.286726343584882,0.669184079910343,0.29989868871404,0.0783004260547811,-0.375,54.7916666666667
"1199",0,-0.656834398728806,-0.049842735682604,0.0907758661082643,-0.113952852418217,0.371523656863362,-0.537343316858361,-0.0416666666666679,63.9583333333333
"1200",0,0.688901279751861,0.287620283160209,-0.103707536459403,0.14653421931255,0.37057053451565,-0.270329842460482,6.54166666666666,66.0416666666667
"1201",0,0.61381453674861,1.10846895683273,1.58614316173221,0.192139930991368,0.288180080538655,-1.59417792964478,-17.875,67.0416666666667
"1202",0,0.526429103081035,0.412846079448396,-0.109968843232406,0.0629519382488861,0.38752598593515,-0.365214541303363,-8.20833333333333,62.9583333333333
"1203",0,0.390496206264806,0.220605275100605,-0.776674563037372,0.329942637654723,0.418133382705985,0.772179517889732,-13.0416666666667,52.0416666666667
"1204",0,0.778875911454031,0.708642970597822,-0.506863550658882,0.652541905535914,0.401648274513991,0.183007604344151,-6.70833333333333,59.0416666666667
"1205",0,0.872087040699445,0.85448644552953,2.26998356670803,0.148770199157878,-3.30156823182972,-0.74790512410373,26.7083333333333,60.4583333333333
"1206",0,0.812535485903764,-1.3201826360222,1.97492575405275,-1.10352316015266,-2.95936480357628,-0.410935435335847,17.5416666666667,58.0416666666667
"1207",0,0.836485567723766,-0.497549272164544,2.15426030488235,-0.52566488951807,-3.01954664078049,-0.48823594862811,21.625,59.4583333333333
"1208",0,0.0318922784734208,-0.210627370270038,-0.422819106187801,-0.192838496176363,0.387005899136841,-0.221473924339792,-18.0416666666667,62.625
"1209",0,-0.841314758693688,-0.12669763073524,0.182542781825716,-0.182429060412414,0.364444969082452,-0.667147171805002,-0.458333333333336,64.375
"1210",0,0.746510936021596,0.415543988908926,-0.011499860237444,0.10504386215482,0.388910811415189,-0.330230846338149,-5.29166666666667,61.375
"1211",0,0.836485567723766,1.44460022378943,0.135092068343742,1.31105817215845,0.0118367791657288,-0.202997090900232,5.95833333333333,59.2083333333333
"1212",0,0.872734340208094,4.07757132528376,-0.313168115995334,4.10701069858775,0.142990589117712,0.29992659689886,-3.04166666666667,53.4583333333333
"1213",0,-0.305350765532557,-0.390534294804674,-0.39496246362393,-0.343413883963637,0.387161347795601,-0.146059286869238,-18.2916666666667,62.0416666666667
"1214",0,-1.35915436561265,0.0675901722058285,0.663770308757951,-0.0981222819652581,0.339563412622288,-1.18574514187809,-5.375,64.0416666666667
"1215",0,0.851373456422686,1.50847955895608,-0.420472562845423,1.04642278446547,0.261907924791126,0.260436357192289,-5.875,53.9583333333333
"1216",0,-0.102746019325511,0.266398407063631,-0.146893385716144,0.165716469408558,0.388045184455408,-0.281153652121045,-1.04166666666667,62.375
"1217",0,0.86949784266485,1.81397633671648,-0.947124462296897,1.1884380123796,0.205324613002455,1.18904552324758,-2.04166666666667,46.7083333333333
"1218",0,0.853962654457281,-0.36494695224923,-0.345597287119095,-0.645420634630412,0.32632718139838,0.143038491873371,2.04166666666666,54.375
"1219",0,0.87467623873404,-1.35839155148361,2.40533947805177,-1.08983344756975,-3.07499112459161,-0.869865831049645,21.5416666666667,61.4583333333333
"1220",0,0.835190968706469,3.65518527748216,-0.328100927573647,2.61774899190573,0.141385026542233,0.255946017013549,-3.04166666666667,54.2083333333333
"1221",0,0.85978835003512,0.609555147738386,0.657916970679492,0.604866084489723,0.220391141148508,-1.39164129234055,32.9583333333333,69.2916666666667
"1222",0,-1.50479675505861,-0.432209653292483,0.582292305649002,-0.467890680749184,0.36133244279505,-1.09646079575316,-3.29166666666667,66.5416666666667
"1223",0,-0.88015272921261,-0.267523609456656,-0.755916382865569,-0.0996975607647682,0.410539493656043,0.512638581969988,-13.2916666666667,55.7083333333333
"1225",0,0.305052671123176,0.455072488391078,-0.308397872110665,0.323591139707954,0.397132268907498,-0.0860878769608942,-2.29166666666667,61.2916666666667
"1226",0,-0.317649456196882,-0.796276101379737,1.66598543220299,-0.778838856196885,0.325717378517015,-2.3026313492189,-12.625,68.7916666666667
"1227",0,0.2681565991302,-0.297771524171419,-0.569503623408883,-0.113162841103343,0.399428467666897,0.169990311561183,-13.5416666666667,58.7916666666667
"1228",0,0.831307171654576,0.0627621870022256,-0.302132707477666,-0.302234738427513,0.34105705216346,0.105135181747142,0.0416666666666643,55.7083333333333
"1229",0,0.842958562810253,0.20801642955668,0.180859790402597,-0.0473688601574906,0.269999693688126,-0.87172558399886,14.7916666666667,68.625
"1230",0,-0.489831125497439,-0.198673491493911,-0.755873946405617,0.0113874032607062,0.408917942075662,0.463790766130606,-10.2083333333333,56.0416666666667
"1231",0,0.0636099543972075,0.0300556641792904,-0.0669652778604622,-0.0694326599619893,0.37520023971255,-0.401843558152139,7.95833333333333,67.2916666666667
"1232",0,-0.324769750792018,-0.287718489743557,-0.548525545217325,-0.261446304564559,0.390758429759309,0.124338426614323,-19.625,58.5416666666667
"1233",0,-1.65885403811701,-0.83632656032828,-1.2418051691376,-0.166303963533857,0.461651012656358,1.70316265236829,-17.375,43.2916666666667
"1234",0,-2.16957335044084,-0.505621462025817,-1.12999618851004,0.00904918569474589,0.448719460803619,1.4316334133917,-15.7083333333333,45.7083333333333
"1235",0,-2.02910935706407,-0.208159111785879,-1.00004851464775,0.241726534141098,0.436293783300388,1.27088666674049,-9.20833333333333,47.2083333333333
"1236",0,0.270745797164794,-0.354105803782484,-0.5857751124057,-0.268459239668734,0.392575402510702,0.154565803062684,-18.7916666666667,58.5416666666667
"1237",0,-2.24919119000463,-0.38304909955231,-1.16668250813904,0.0263593404407022,0.448022162534324,1.43077904179722,-19.9583333333333,46.375
"1238",0,0.606046942644826,0.757849818170625,0.817761612810868,0.221595190836912,0.350908055738599,-0.96623338706641,-11.2916666666667,64.5416666666667
"1239",0,0.865614045612958,2.74831231310423,-0.227419461871157,1.44204203180648,-0.0687786731977382,0.274088701196404,8.20833333333333,54.125
"1240",0,-2.16763145191489,-0.321860820680635,-0.863268088500605,-0.135432506782108,0.419104714753723,0.838782784743244,-18.2083333333333,51.625
"1241",0,-0.498246019109872,-0.392915699904957,-0.381498532238976,-0.342283952675204,0.387082735188171,-0.123776057548944,-18.375,61.7916666666667
"1242",0,0.769813718332949,0.837925001731748,-0.385726746794251,0.646477163947976,0.398712071419525,0.0234471434320484,-2.95833333333334,60.375
"1243",0,0.351658235745883,-0.324558590280643,-0.431469392763134,-0.273371312299169,0.390280980307403,-0.255383927337181,-13.2916666666667,63.125
"1244",0,0.762046124229165,-1.27210313418328,2.28169217179495,-1.11981565085121,-3.04017623228454,-0.737465194943764,19.625,60.0416666666667
"1245",0,0.852020755931335,0.677080926422658,-0.635092065660589,-0.0961032914582017,0.292094721905259,0.720448407460716,0.208333333333332,50.125
"1246",0,0.128339905262078,-0.39201583730936,-0.556229691628716,-0.228119424923916,0.396969269885312,0.173710096848624,-16.875,58.125
"1247",0,0.872087040699445,0.00285097455274356,-0.483761720539698,0.800252183440174,0.275271179776193,0.666250292067895,-1.29166666666667,50.7916666666667
"1248",0,0.526429103081035,0.18600126458192,-0.269548257489079,0.0406117694379728,0.390274318222028,-0.278581317500235,-9.04166666666667,62.5416666666667
