"","Lon","Lat","focal_rac_vect"
"207",17.25,54.75,-0.977827050997783
"208",4.75,54.75,-0.254988913525499
"209",12.75,54.75,-0.889135254988914
"210",19.25,54.75,-0.889135254988914
"211",7.25,54.75,-0.445676274944568
"212",-4.25,54.75,-0.195121951219512
"213",13.25,54.75,-0.957871396895787
"214",2.25,54.75,-0.764966740576497
"215",7.75,54.75,-0.301552106430155
"216",13.75,54.75,-0.886917960088692
"217",2.75,54.75,-0.208425720620843
"218",-5.25,54.75,-0.975609756097561
"219",19.75,54.75,-0.824833702882483
"220",5.25,54.75,-0.700665188470067
"221",10.25,54.75,-0.895787139689579
"222",14.25,54.75,-0.217294900221729
"223",5.75,54.75,-0.343680709534368
"224",8.25,54.75,-0.383592017738359
"225",-8.75,54.75,-0.29490022172949
"226",10.75,54.75,-0.878048780487805
"227",14.75,54.75,-0.261640798226164
"228",-11.25,54.75,-0.886917960088692
"229",0.25,54.75,-0.891352549889135
"230",3.25,54.75,-0.297117516629712
"231",-0.25,54.75,-0.909090909090909
"232",-7.75,55.25,-0.199556541019956
"233",0.75,55.25,-0.878048780487805
"234",8.25,55.25,-0.904656319290466
"235",11.25,55.25,-0.430155210643016
"236",3.25,55.25,-0.900221729490022
"237",5.25,55.25,-0.383592017738359
"238",20.25,55.25,-0.634146341463415
"239",9.75,55.25,-0.895787139689579
"240",3.75,55.25,-0.933481152993348
"241",17.25,55.25,-0.467849223946785
"242",5.75,55.25,-0.172949002217295
"243",20.75,55.25,-0.869179600886918
"244",12.75,55.25,-0.643015521064302
"245",-8.25,55.25,-0.35920177383592
"246",17.75,55.25,-0.873614190687361
"247",1.25,55.25,-0.381374722838137
"248",-0.25,55.25,-0.953436807095344
"249",1.75,55.25,-0.962305986696231
"250",-0.75,55.25,-0.629711751662971
"251",13.25,55.25,-0.953436807095344
"252",4.25,55.25,-0.363636363636364
"253",15.25,55.25,-0.933481152993348
"254",-9.25,55.25,-0.780487804878049
"255",6.25,55.25,-0.407982261640798
"256",13.75,55.25,-0.390243902439024
"257",4.75,55.25,-0.186252771618625
"258",15.75,55.25,-0.93569844789357
"259",18.25,55.25,-0.906873614190687
"260",6.75,55.25,-0.394678492239468
"261",18.75,55.25,-0.855875831485588
"262",2.25,55.25,-0.966740576496674
"263",-1.25,55.25,-0.150776053215078
"264",14.25,55.25,-0.971175166297118
"265",10.75,55.25,-0.483370288248337
"266",2.75,55.25,-0.343680709534368
"267",-5.25,55.25,-0.399113082039911
"268",14.75,55.25,-0.29490022172949
"269",16.25,55.25,-0.363636363636364
"270",7.25,55.25,-0.9490022172949
"271",-6.25,55.25,-0.203991130820399
"272",16.75,55.25,-0.288248337028825
"273",0.25,55.25,-0.966740576496674
"274",14.75,55.75,-0.962305986696231
"275",16.25,55.75,-0.363636363636364
"276",-7.25,55.75,-0.554323725055432
"277",16.75,55.75,-0.784922394678492
"278",0.25,55.75,-0.394678492239468
"279",11.25,55.75,-0.753880266075388
"280",-7.75,55.75,-0.944567627494457
"281",0.75,55.75,-0.523281596452328
"282",3.25,55.75,-0.740576496674058
"283",5.25,55.75,-0.385809312638581
"284",20.25,55.75,-0.445676274944568
"285",12.75,55.75,-0.917960088691796
"286",3.75,55.75,-0.403547671840355
"287",-8.25,55.75,-0.341463414634146
"288",17.25,55.75,-0.906873614190687
"289",5.75,55.75,-0.372505543237251
"290",17.75,55.75,-0.747228381374723
"291",1.25,55.75,-0.731707317073171
"292",-0.25,55.75,-0.953436807095344
"293",1.75,55.75,-0.341463414634146
"294",-0.75,55.75,-0.609756097560976
"295",13.25,55.75,-0.57649667405765
"296",4.25,55.75,-0.270509977827051
"297",15.25,55.75,-0.696230598669623
"298",6.25,55.75,-0.722838137472284
"299",4.75,55.75,-0.478935698447894
"300",15.75,55.75,-0.71840354767184
"301",18.25,55.75,-0.465631929046563
"302",6.75,55.75,-0.263858093126386
"303",-1.25,55.75,-0.545454545454545
"304",10.25,55.75,-0.802660753880266
"305",2.25,55.75,-0.323725055432373
"306",-1.75,55.75,-0.722838137472284
"307",14.25,55.75,-0.456762749445676
"308",7.25,55.75,-0.552106430155211
"309",10.75,55.75,-0.713968957871397
"310",2.75,55.75,-0.439024390243902
"311",7.25,56.25,-0.53880266075388
"312",-8.75,56.25,-0.869179600886918
"313",4.25,56.25,-0.933481152993348
"314",-0.75,56.25,-0.984478935698448
"315",10.25,56.25,-0.46119733924612
"316",4.75,56.25,-0.815964523281596
"317",10.75,56.25,-0.700665188470067
"318",1.25,56.25,-0.505543237250554
"319",-9.25,56.25,-0.69179600886918
"320",5.25,56.25,-0.864745011086475
"321",1.75,56.25,-0.492239467849224
"322",-1.25,56.25,-0.57649667405765
"323",5.75,56.25,-0.492239467849224
"324",-1.75,56.25,-0.496674057649667
"325",11.25,56.25,-0.804878048780488
"326",2.25,56.25,-0.869179600886918
"327",11.75,56.25,-0.742793791574279
"328",2.75,56.25,-0.9490022172949
"329",6.25,56.25,-0.465631929046563
"330",-7.25,56.25,-0.745011086474501
"331",-2.25,56.25,-0.403547671840355
"332",6.75,56.25,-0.447893569844789
"333",-7.75,56.25,-0.860310421286031
"334",3.25,56.25,-0.784922394678492
"335",0.25,56.25,-0.518847006651885
"336",12.25,56.25,-0.700665188470067
"337",3.75,56.25,-0.913525498891353
"338",0.75,56.25,-0.407982261640798
"339",-8.25,56.25,-0.911308203991131
"340",12.75,56.25,-0.984478935698448
"341",18.25,56.25,-0.443458980044346
"342",-0.25,56.25,-0.447893569844789
"343",0.25,56.75,-0.665188470066519
"344",12.25,56.75,-0.545454545454545
"345",7.25,56.75,-0.906873614190687
"346",0.75,56.75,-0.815964523281596
"347",-8.25,56.75,-0.523281596452328
"348",12.75,56.75,-0.80709534368071
"349",-0.25,56.75,-0.57649667405765
"350",7.75,56.75,-0.904656319290466
"351",4.25,56.75,-0.554323725055432
"352",-0.75,56.75,-0.904656319290466
"353",10.25,56.75,-0.711751662971175
"354",10.75,56.75,-0.532150776053215
"355",1.25,56.75,-0.784922394678492
"356",20.75,56.75,-0.953436807095344
"357",5.25,56.75,-0.514412416851441
"358",-1.25,56.75,-0.567627494456763
"359",5.75,56.75,-0.687361419068736
"360",-6.75,56.75,-0.563192904656319
"361",-1.75,56.75,-0.784922394678492
"362",11.25,56.75,-0.971175166297118
"363",2.75,56.75,-0.572062084257206
"364",11.75,56.75,-0.75609756097561
"365",-2.25,56.75,-0.997782705099778
"366",6.25,56.75,-0.580931263858093
"367",-7.25,56.75,-0.536585365853659
"368",16.75,56.75,-0.764966740576497
"369",6.75,56.75,-0.501108647450111
"370",3.75,56.75,-0.944567627494457
"371",-0.75,57.25,-0.984478935698448
"372",3.75,57.25,-0.523281596452328
"373",10.75,57.25,-0.784922394678492
"374",-1.25,57.25,-0.917960088691796
"375",5.25,57.25,-0.649667405764967
"376",-8.25,57.25,-0.616407982261641
"377",0.25,57.25,-0.58980044345898
"378",-1.75,57.25,-0.620842572062084
"379",5.75,57.25,-0.638580931263858
"380",-8.75,57.25,-0.541019955654102
"381",0.75,57.25,-0.647450110864745
"382",4.25,57.25,-0.784922394678492
"383",11.25,57.25,-0.636363636363636
"384",20.75,57.25,-0.931263858093126
"385",4.75,57.25,-0.873614190687361
"386",6.25,57.25,-0.838137472283814
"387",11.75,57.25,-0.840354767184035
"388",7.25,57.25,-0.971175166297118
"389",1.25,57.25,-0.558758314855876
"390",21.25,57.25,-0.736141906873614
"391",7.75,57.25,-0.660753880266075
"392",1.75,57.25,-0.953436807095344
"393",24.25,57.25,-0.827050997782705
"394",8.25,57.25,-0.740576496674058
"395",12.25,57.25,-0.83370288248337
"396",-0.25,57.25,-0.83370288248337
"397",8.75,57.25,-0.731707317073171
"398",2.75,57.25,-0.860310421286031
"399",8.25,57.75,-0.665188470066519
"400",19.25,57.75,-0.636363636363636
"401",2.25,57.75,-0.541019955654102
"402",-0.25,57.75,-0.793791574279379
"403",8.75,57.75,-0.953436807095344
"404",-0.75,57.75,-0.572062084257206
"405",9.25,57.75,-0.798226164079823
"406",3.25,57.75,-0.926829268292683
"407",9.75,57.75,-0.532150776053215
"408",10.25,57.75,-0.895787139689579
"409",3.75,57.75,-0.676274944567627
"410",10.75,57.75,-0.796008869179601
"411",-1.25,57.75,-0.944567627494457
"412",5.25,57.75,-0.880266075388027
"413",-9.25,57.75,-0.745011086474501
"414",0.25,57.75,-0.926829268292683
"415",-1.75,57.75,-0.851441241685144
"416",0.75,57.75,-0.656319290465632
"417",20.25,57.75,-0.789356984478936
"418",4.25,57.75,-0.676274944567627
"419",-2.75,57.75,-0.780487804878049
"420",11.25,57.75,-0.82039911308204
"421",11.75,57.75,-0.676274944567627
"422",1.25,57.75,-0.709534368070953
"423",-1.25,58.25,-0.957871396895787
"424",-7.25,58.25,-0.620842572062084
"425",1.25,58.25,-0.609756097560976
"426",-1.75,58.25,-0.696230598669623
"427",-7.75,58.25,-0.895787139689579
"428",11.25,58.25,-0.815964523281596
"429",1.75,58.25,-0.838137472283814
"430",2.25,58.25,-0.75609756097561
"431",-2.75,58.25,-0.851441241685144
"432",9.75,58.25,-0.882483370288248
"433",2.75,58.25,-0.851441241685144
"434",-3.25,58.25,-0.900221729490022
"435",-8.75,58.25,-0.678492239467849
"436",3.25,58.25,-0.771618625277162
"437",0.25,58.25,-0.829268292682927
"438",3.75,58.25,-0.851441241685144
"439",-0.25,58.25,-0.804878048780488
"440",-9.25,58.25,-0.824833702882483
"441",0.75,58.25,-0.891352549889135
"442",-0.75,58.25,-0.842572062084257
"443",10.75,58.25,-0.80709534368071
"444",0.75,58.75,-0.913525498891353
"445",10.75,58.75,-0.993348115299335
"446",-1.25,58.75,-0.878048780487805
"447",11.25,58.75,-0.882483370288248
"448",1.75,58.75,-0.909090909090909
"449",-1.75,58.75,-0.997782705099778
"450",-2.25,58.75,-0.815964523281596
"451",2.75,58.75,-0.895787139689579
"452",-3.75,58.75,-0.997782705099778
"453",-8.25,58.75,-0.993348115299335
"454",-4.25,58.75,-0.980044345898004
"455",3.25,58.75,-0.988913525498891
"456",-5.75,58.75,-0.980044345898004
"457",0.25,58.75,-0.993348115299335
"458",-0.75,58.75,-0.962305986696231
"459",-6.25,58.75,-0.971175166297118
"460",1.75,59.25,-0.984478935698448
"461",-1.75,59.25,-0.971175166297118
"462",-2.25,59.25,-0.922394678492239
"463",-5.25,59.25,-0.953436807095344
"464",-5.75,59.25,-0.966740576496674
"465",9.75,59.25,-0.962305986696231
