"","Lon","Lat"
"461",-1.75,59.25
"462",-2.25,59.25
"463",-5.25,59.25
"464",-5.75,59.25
"466",-3.75,59.25
"467",-4.25,59.25
"468",-4.75,59.25
"469",-0.75,59.25
"470",0.75,59.25
"471",-1.25,59.25
"472",-1.25,59.75
"473",-2.25,59.75
"475",-2.75,59.75
"476",-5.25,59.75
